254	250.14	3.93			
255	251.08	3.73			
256	252.01	3.79			
257	252.94	3.91			
258	253.87	3.87			
259	254.80	3.88			
260	255.74	3.82			
261	256.70	3.88			
262	257.67	3.81			
263	258.64	3.82			
264	259.61	3.78			
265	260.57	3.80			
266	261.54	3.86			
267	262.51	3.86			
268	263.48	3.69			
269	264.44	3.88			
270	265.41	3.87			
271	266.38	3.86			
272	267.35	3.80			
273	268.31	3.80			
274	269.28	3.74			
275	270.25	3.74			
276	271.22	3.66			
277	272.18	3.80			
278	273.15	3.67			
279	274.12	3.59			
280	275.09	3.50			
281	276.05	3.57			
282	277.02	3.34			
283	277.99	3.23			
284	278.96	3.22			
285	279.92	3.20			
286	280.89	3.18			
287	281.80	3.25			
288	282.70	3.38			
289	283.61	3.42			
290	284.51	3.46			
291	285.42	3.47			
292	286.32	3.63			
293	287.22	3.58			
294	288.13	3.69			
295	289.03	3.67			
296	289.94	3.59			
297	290.84	3.66			
298	291.75	3.53			
299	292.65	3.59			
300	293.56	3.38			
301	294.46	3.42			
302	295.37	3.42			
303	296.27	3.36			
304	297.18	3.43			
305	298.08	3.43			
306	298.99	3.41			
307	299.89	3.36			
308	300.80	3.21			
309	301.70	3.22			
310	302.61	3.16			
311	303.51	3.06			
312	304.42	3.15			
313	305.53	3.05			
314	306.64	3.13			
315	307.75	2.98			
316	308.86	3.05			
317	309.98	3.25			
318	311.09	3.12			
319	312.20	2.94			
320	313.31	3.02			
321	314.42	2.89			
322	315.53	2.89			
323	316.65	2.83			
324	317.76	2.57			
325	318.87	2.67			
326	319.98	2.59			
327	321.09	2.58			
328	322.20	2.59			
329	323.32	2.55			
330	324.43	2.66			
331	325.54	2.65			
332	326.65	2.75			
333	327.76	2.74			
334	328.88	2.87			
335	329.99	3.11			
336	331.10	3.44			
337	332.21	3.59			
338	333.32	3.53			
339	334.31	3.78			
340	335.29	3.96			
341	336.28	4.20			
342	337.26	4.19			
343	338.24	4.16			
344	339.23	4.12			
345	340.21	4.15			
346	341.20	4.04			
347	342.18	3.89			
348	343.17	3.85			
349	344.15	3.98			
350	345.13	4.03			
351	346.12	4.00			
352	347.10	3.83			
353	348.09	3.83			
354	349.07	3.76			
355	350.05	3.95			
356	351.04	3.82			
357	352.02	3.91			
358	353.01	3.94			
359	353.99	3.85			
360	354.98	3.90			
361	355.96	3.86			
362	356.94	3.86			
363	357.93	3.89			
364	358.91	3.72			
365	359.91	3.82			
366	360.91	3.68			
367	361.91	3.73			
368	362.91	3.76			
369	363.91	3.74			
370	364.91	3.72			
371	365.91	3.63			
372	366.91	3.78			
373	367.91	3.65			
374	368.91	3.70			
375	369.91	3.56			
376	370.91	3.57			
377	371.91	3.56			
378	372.91	3.55			
379	373.91	3.53			
380	374.91	3.55			
381	375.91	3.51			
382	376.91	3.41			
383	377.90	3.48			
384	378.90	3.44			
385	379.90	3.50			
386	380.90	3.38			
387	381.90	3.35			
388	382.90	3.28			
389	383.90	3.25			
390	384.90	3.32			
391	386.06	3.36			
392	387.21	3.33			
393	388.36	3.22			
394	389.52	3.28			
395	390.67	3.12			
396	391.82	3.08			
397	392.98	2.83			
398	394.13	2.90			
399	395.28	2.84			
400	396.44	2.68			
401	397.59	2.56			
402	398.75	2.53			
403	399.90	2.51			
404	401.05	2.56			
405	402.21	2.47			
406	403.36	2.55			
407	404.51	2.57			
408	405.67	2.53			
409	406.82	2.58			
410	407.98	2.51			
411	409.13	2.65			
412	410.28	2.67			
413	411.44	2.74			
414	412.59	2.77			
415	413.74	2.77			
416	414.90	2.87			
417	415.96	2.93			
418	417.03	3.11			
419	418.10	3.17			
420	419.17	3.13			
421	420.24	3.21			
422	421.30	3.30			
423	422.37	3.38			
424	423.44	3.28			
425	424.51	3.66			
426	425.57	3.86			
427	426.64	3.66			
428	427.71	4.08			
429	428.78	4.27			
430	429.85	4.34			
431	430.91	4.41			
432	431.98	4.41			
433	433.05	4.44			
434	434.12	4.44			
435	435.18	4.38			
436	436.25	4.43			
437	437.32	4.26			
438	438.39	4.15			
439	439.46	4.23			
440	440.52	4.12			
441	441.59	4.31			
442	442.66	4.32			
443	443.75	4.27			
444	444.85	4.18			
445	445.94	4.27			
446	447.03	4.18			
447	448.13	3.87			
448	449.22	4.13			
449	450.32	4.09			
450	451.41	4.11			
451	452.51	3.94			
452	453.60	4.09			
